time,temperature
1:34:55,25.826
1:34:56,25.832
1:34:57,25.835
1:34:58,25.834
1:34:59,25.836
1:35:00,25.838
1:35:01,25.837
1:35:02,25.838
1:35:03,25.841
1:35:04,25.845
1:35:05,25.847
1:35:06,25.847
1:35:07,25.848
1:35:08,25.853
1:35:09,25.856
1:35:10,25.861
1:35:11,25.863
1:35:12,25.864
1:35:13,25.865
1:35:14,25.866
1:35:15,25.869
1:35:16,25.868
1:35:17,25.869
1:35:18,25.871
1:35:19,25.873
1:35:20,25.874
1:35:21,25.876
1:35:22,25.877
1:35:23,25.88
1:35:24,25.881
1:35:25,25.881
1:35:26,25.882
1:35:27,25.884
1:35:28,25.885
1:35:29,25.887
1:35:30,25.887
1:35:31,25.888
1:35:32,25.889
1:35:33,25.89
1:35:34,25.89
1:35:35,25.892
1:35:36,25.892
1:35:37,25.893
1:35:38,25.894
1:35:39,25.895
1:35:40,25.897
1:35:41,25.898
1:35:42,25.899
1:35:43,25.901
1:35:44,25.903
1:35:45,25.903
1:35:46,25.904
1:35:47,25.904
1:35:48,25.907
1:35:49,25.907
1:35:50,25.908
1:35:51,25.909
1:35:52,25.913
1:35:53,25.914
1:35:54,25.915
1:35:55,25.915
1:35:56,25.916
1:35:57,25.917
1:35:58,25.917
1:35:59,25.919
1:36:00,25.919
1:36:01,25.918
1:36:02,25.919
1:36:03,25.92
1:36:04,25.92
1:36:05,25.921
1:36:06,25.922
1:36:07,25.922
1:36:08,25.922
1:36:09,25.923
1:36:10,25.924
1:36:11,25.923
1:36:12,25.924
1:36:13,25.925
1:36:14,25.927
1:36:15,25.928
1:36:16,25.93
1:36:17,25.93
1:36:18,25.931
1:36:19,25.932
1:36:20,25.932
1:36:21,25.933
1:36:22,25.932
1:36:23,25.933
1:36:24,25.933
1:36:25,25.934
1:36:26,25.934
1:36:27,25.934
1:36:28,25.935
1:36:29,25.936
1:36:30,25.937
1:36:31,25.937
1:36:32,25.937
1:36:33,25.938
1:36:34,25.938
1:36:35,25.939
1:36:36,25.94
1:36:37,25.941
1:36:38,25.94
1:36:39,25.94
1:36:40,25.941
1:36:41,25.941
1:36:42,25.942
1:36:43,25.944
1:36:44,25.944
1:36:45,25.944
1:36:46,25.943
1:36:47,25.943
1:36:48,25.943
1:36:49,25.944
1:36:50,25.945
1:36:51,25.945
1:36:52,25.945
1:36:53,25.946
1:36:54,25.946
1:36:55,25.947
1:36:56,25.947
1:36:57,25.948
1:36:58,25.948
1:36:59,25.949
1:37:00,25.949
1:37:01,25.95
1:37:02,25.95
1:37:03,25.95
1:37:04,25.95
1:37:05,25.951
1:37:06,25.951
1:37:07,25.951
1:37:08,25.951
1:37:09,25.951
1:37:10,25.951
1:37:11,25.952
1:37:12,25.953
1:37:13,25.953
1:37:14,25.953
1:37:15,25.953
1:37:16,25.953
1:37:17,25.953
1:37:18,25.954
1:37:19,25.954
1:37:20,25.954
1:37:21,25.954
1:37:22,25.953
1:37:23,25.954
1:37:24,25.954
1:37:25,25.954
1:37:26,25.954
1:37:27,25.954
1:37:28,25.954
1:37:29,25.954
1:37:30,25.955
1:37:31,25.955
1:37:32,25.955
1:37:33,25.956
1:37:34,25.957
1:37:35,25.956
1:37:36,25.957
1:37:37,25.957
1:37:38,25.957
1:37:39,25.956
1:37:40,25.956
1:37:41,25.956
1:37:42,25.956
1:37:43,25.956
1:37:44,25.956
1:37:45,25.957
1:37:46,25.957
1:37:47,25.957
1:37:48,25.957
1:37:49,25.957
1:37:50,25.957
1:37:51,25.958
1:37:52,25.958
1:37:53,25.958
1:37:54,25.958
1:37:55,25.958
1:37:56,25.959
1:37:57,25.959
1:37:58,25.958
1:37:59,25.959
1:38:00,25.959
1:38:01,25.959
1:38:02,25.959
1:38:03,25.959
1:38:04,25.959
1:38:05,25.959
1:38:06,25.959
1:38:07,25.958
1:38:08,25.958
1:38:09,25.958
1:38:10,25.958
1:38:11,25.958
1:38:12,25.959
1:38:13,25.959
1:38:14,25.959
1:38:15,25.959
1:38:16,25.959
1:38:17,25.959
1:38:18,25.959
1:38:19,25.959
1:38:20,25.959
1:38:21,25.959
1:38:22,25.959
1:38:23,25.959
1:38:24,25.959
1:38:25,25.96
1:38:26,25.959
1:38:27,25.959
1:38:28,25.958
1:38:29,25.959
1:38:30,25.959
1:38:31,25.959
1:38:32,25.959
1:38:33,25.959
1:38:34,25.96
1:38:35,25.959
1:38:36,25.96
1:38:37,25.96
1:38:38,25.96
1:38:39,25.959
1:38:40,25.96
1:38:41,25.96
1:38:42,25.959
1:38:43,25.959
1:38:44,25.959
1:38:45,25.958
1:38:46,25.959
1:38:47,25.958
1:38:48,25.958
1:38:49,25.958
1:38:50,25.958
1:38:51,25.959
1:38:52,25.959
1:38:53,25.958
1:38:54,25.958
1:38:55,25.958
1:38:56,25.958
1:38:57,25.958
1:38:58,25.958
1:38:59,25.959
1:39:00,25.958
1:39:01,25.958
1:39:02,25.958
1:39:03,25.958
1:39:04,25.958
1:39:05,25.958
1:39:06,25.958
1:39:07,25.958
1:39:08,25.958
1:39:09,25.958
1:39:10,25.958
1:39:11,25.958
1:39:12,25.958
1:39:13,25.957
1:39:14,25.957
1:39:15,25.957
1:39:16,25.957
1:39:17,25.957
1:39:18,25.957
1:39:19,25.957
1:39:20,25.957
1:39:21,25.957
1:39:22,25.957
1:39:23,25.957
1:39:24,25.956
1:39:25,25.956
1:39:26,25.956
1:39:27,25.956
1:39:28,25.956
1:39:29,25.956
1:39:30,25.956
1:39:31,25.956
1:39:32,25.956
1:39:33,25.956
1:39:34,25.956
1:39:35,25.955
1:39:36,25.955
1:39:37,25.956
1:39:38,25.955
1:39:39,25.955
1:39:40,25.955
1:39:41,25.955
1:39:42,25.955
1:39:43,25.955
1:39:44,25.955
1:39:45,25.955
1:39:46,25.955
1:39:47,25.955
1:39:48,25.954
1:39:49,25.954
1:39:50,25.954
1:39:51,25.955
1:39:52,25.955
1:39:53,25.954
1:39:54,25.954
1:39:55,25.953
1:39:56,25.953
1:39:57,25.953
1:39:58,25.953
1:39:59,25.953
1:40:00,25.953
1:40:01,25.953
1:40:02,25.953
1:40:03,25.953
1:40:04,25.953
1:40:05,25.952
1:40:06,25.953
1:40:07,25.952
1:40:08,25.952
1:40:09,25.952
1:40:10,25.952
1:40:11,25.951
1:40:12,25.952
1:40:13,25.952
1:40:14,25.951
1:40:15,25.951
1:40:16,25.951
1:40:17,25.951
1:40:18,25.951
1:40:19,25.951
1:40:20,25.952
1:40:21,25.951
1:40:22,25.951
1:40:23,25.95
1:40:24,25.95
1:40:25,25.951
1:40:26,25.95
1:40:27,25.95
1:40:28,25.949
1:40:29,25.949
1:40:30,25.949
1:40:31,25.949
1:40:32,25.949
1:40:33,25.948
1:40:34,25.948
1:40:35,25.948
1:40:36,25.948
1:40:37,25.948
1:40:38,25.948
1:40:39,25.948
1:40:40,25.948
1:40:41,25.948
1:40:42,25.948
1:40:43,25.948
1:40:44,25.948
1:40:45,25.948
1:40:46,25.948
1:40:47,25.947
1:40:48,25.947
1:40:49,25.947
1:40:50,25.947
1:40:51,25.947
1:40:52,25.947
1:40:53,25.947
1:40:54,25.946
1:40:55,25.946
1:40:56,25.946
1:40:57,25.946
1:40:58,25.946
1:40:59,25.945
1:41:00,25.945
1:41:01,25.945
1:41:02,25.945
1:41:03,25.945
1:41:04,25.945
1:41:05,25.945
1:41:06,25.945
1:41:07,25.945
1:41:08,25.945
1:41:09,25.945
1:41:10,25.945
1:41:11,25.944
1:41:12,25.944
